Date,Description,Amount,Category
2026-01-19,Marriott Downtown,125.41,Travel
2026-06-24,Blue Bottle Coffee,60.04,Meals & Entertainment
2026-05-23,Whole Foods Market,127.07,Meals & Entertainment
2026-01-15,Union Square Diner,226.99,Meals & Entertainment
2026-04-17,Quikfuel Station #42,226.25,Vehicle & Fuel
2026-01-16,At&T Wireless,122.36,Utilities
2026-03-14,Comcast Business,117.05,Utilities
2026-04-07,Pg&E,138.52,Utilities
2026-07-03,Ace Parking Garage,171.32,Travel
2026-01-13,Chevron,97.27,Vehicle & Fuel
2026-08-18,Sherwin-Williams Paint,134.40,Supplies & Materials
2026-07-03,Staples Office Center,120.76,Office Supplies
2026-04-08,Home Depot,176.72,Supplies & Materials
2026-04-10,Delta Airlines,174.75,Travel
2026-06-09,Enterprise Rent-A-Car,228.76,Travel
